,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-25 20:44:00,AAPL,TikTok Judge Schedules Sunday Hearing as Trumps Ban Looms,0.426,0.574,0.0,-0.6369
1,2020-09-25 20:39:00,AAPL,"As Zoom and Videoconferencing Boom, TVs Are Getting Left Behind",0.0,1.0,0.0,0.0
2,2020-09-25 20:05:00,AAPL,Why Rival Bike Peddlers Could Help Boost Pelotons Stock,0.0,0.565,0.435,0.6597
3,2020-09-25 19:58:00,AAPL,What Correction? S&P 500 Surges as Apple Leads Tech Stock Boom and Cruise Stocks Rise; Oil Stocks Fall,0.0,1.0,0.0,0.0
4,2020-09-25 17:33:00,AAPL,"Apple Gives In, Allows Facebook Pay for Paid Online Events",0.135,0.865,0.0,-0.1027
5,2020-09-25 17:14:00,AAPL,"Apple Decides to Waive 30% Cut of Paid Events on Facebook, but Only for 3 Months",0.1,0.9,0.0,-0.1406
6,2020-09-25 16:42:00,AAPL,Dow Jones Finishes Week With Strong Gains; This Leaderboard Stock Is In Buy Range,0.0,0.6779999999999999,0.322,0.6908
7,2020-09-25 16:37:00,AAPL,Unity Stock Gets Its First Buy Rating From Wall Street,0.0,1.0,0.0,0.0
8,2020-09-25 16:33:00,AAPL,Stocks Stage Late Rally as Investors Look to Next Week,0.0,1.0,0.0,0.0
9,2020-09-25 16:25:00,AAPL,Apple Inc. stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
10,2020-09-25 16:06:00,AAPL,Apple Temporarily Stops Taking 30% Cut of Facebook Paid Events,0.316,0.684,0.0,-0.4019
11,2020-09-25 15:03:00,AAPL,"Boeing, Apple Inc. share gains contribute to Dow's 330-point rally",0.0,0.635,0.365,0.5574
12,2020-09-25 14:31:00,AAPL,Apple Watch reviews: The best features of the Series 6 and SE,0.0,0.7040000000000001,0.29600000000000004,0.6369
13,2020-09-25 14:03:00,AAPL,"Dow's 214-point climb led by gains for Boeing, Apple Inc. shares",0.0,0.662,0.338,0.5574
14,2020-09-25 13:50:00,AAPL,Ex-Facebook and Pinterest exec explains how tech addiction made him rethink his life's work,0.0,1.0,0.0,0.0
15,2020-09-25 13:39:00,AAPL,"Nasdaq Soars 150 Points, Fueled By Big Gains For Tesla, Apple, Qualcomm; Boeing Leads Dow Jones",0.0,0.862,0.138,0.34
16,2020-09-25 13:03:00,AAPL,"Boeing, Apple Inc. share gains contribute to Dow's 133-point jump",0.0,0.635,0.365,0.5574
17,2020-09-25 12:58:00,AAPL,"Dow Jones Up 100 Points After Early Dive; Apple, Microsoft Lead Tech Stock Rally",0.0,1.0,0.0,0.0
18,2020-09-25 12:53:00,AAPL,"Buy Apple Stock Ahead of the iPhone 12 Launch, Morgan Stanley Says",0.0,1.0,0.0,0.0
